2026-04-13 02:29:37,965 | INFO | root | Logging initialized.
2026-04-13 02:29:38,007 | INFO | src.core.pipeline_engine | Registered module: Ingestion
2026-04-13 02:29:38,007 | INFO | src.core.pipeline_engine | Registered module: Preprocessing
2026-04-13 02:29:38,007 | INFO | src.core.pipeline_engine | Registered module: Enrichment
2026-04-13 02:29:38,254 | INFO | src.core.pipeline_engine | Registered module: Analysis
2026-04-13 02:29:38,498 | INFO | src.core.pipeline_engine | Registered module: Recommendation
2026-04-13 02:29:38,498 | INFO | __main__ | Starting Modular Pipeline...
2026-04-13 02:29:38,499 | INFO | src.core.pipeline_engine | Starting pipeline execution...
2026-04-13 02:29:38,499 | INFO | src.core.pipeline_engine | Running module: Ingestion
2026-04-13 02:29:38,562 | INFO | src.core.pipeline_engine | Running module: Preprocessing
2026-04-13 02:29:38,593 | INFO | src.core.pipeline_engine | Running module: Enrichment
2026-04-13 02:29:38,623 | ERROR | src.core.pipeline_engine | Error in module Enrichment: Object of type bool_ is not JSON serializable
2026-04-13 02:29:38,623 | INFO | src.core.pipeline_engine | Pipeline execution finished.
2026-04-13 02:29:38,623 | ERROR | __main__ | Pipeline finished with errors: ['Enrichment: Object of type bool_ is not JSON serializable']
2026-04-13 02:30:05,231 | INFO | root | Logging initialized.
2026-04-13 02:30:05,236 | INFO | src.core.pipeline_engine | Registered module: Ingestion
2026-04-13 02:30:05,236 | INFO | src.core.pipeline_engine | Registered module: Preprocessing
2026-04-13 02:30:05,237 | INFO | src.core.pipeline_engine | Registered module: Enrichment
2026-04-13 02:30:05,457 | INFO | src.core.pipeline_engine | Registered module: Analysis
2026-04-13 02:30:05,683 | INFO | src.core.pipeline_engine | Registered module: Recommendation
2026-04-13 02:30:05,683 | INFO | __main__ | Starting Modular Pipeline...
2026-04-13 02:30:05,683 | INFO | src.core.pipeline_engine | Starting pipeline execution...
2026-04-13 02:30:05,684 | INFO | src.core.pipeline_engine | Running module: Ingestion
2026-04-13 02:30:05,700 | INFO | src.core.pipeline_engine | Running module: Preprocessing
